index_date,vale_(reais),pig_iron_(tonne)
2000-02-01,3.4,2172.4
2000-03-01,3.333333,2317.5
2000-04-01,3.333333,2227
2000-05-01,3.485,2326
2000-06-01,3.749166,2299.5
2000-07-01,3.708333,2313.5
2000-08-01,3.85,2378.9
2000-09-01,3.504166,2334.7
2000-10-01,3.666666,2397.5
2000-11-01,3.083333,2408.3
2000-12-01,3.875,2310.7
2001-01-01,4.25,2441.8
2001-02-01,4.083333,2310.4
2001-03-01,4.125,2504
2001-04-01,4.041666,2378.3
2001-05-01,4.3125,2276.9
2001-06-01,4.416666,1918.8
2001-07-01,4.4,1977.5
2001-08-01,4.275,2249.7
2001-09-01,4.208333,2308.1
2001-10-01,4.415833,2303.4
2001-11-01,4.125,2296.9
2001-12-01,4.333333,2425.2
2002-01-01,4.266666,2330.1
2002-02-01,5.141666,2220.2
2002-03-01,5.291666,2425.6
2002-04-01,5.366666,2199.1
2002-05-01,6.3325,2485.2
2002-06-01,6.475,2428.7
2002-07-01,6.916666,2519.5
2002-08-01,6.25,2597.1
2002-09-01,7.216666,2599.3
2002-10-01,8,2646.1
2002-11-01,8.333333,2584.7
2002-12-01,8.575,2659.6
2003-01-01,8.066666,2494.3
2003-02-01,8.666666,2390.3
2003-03-01,7.583333,2659.2
2003-04-01,6.8325,2502.3
2003-05-01,7.333333,2716.1
2003-06-01,7,2711.8
2003-07-01,8.575,2792.6
2003-08-01,9.233333,2860.2
2003-09-01,9.750833,2726.4
2003-10-01,10.833333,2654.8
2003-11-01,10.75,2701.1
2003-12-01,14.125,2829.4
2004-01-01,13,2808.4
2004-02-01,14.041666,2673.4
2004-03-01,13.2925,2858.1
2004-04-01,10.859166,2786.2
2004-05-01,13.0925,2868.4
2004-06-01,12.125,2910.1
2004-07-01,13.658333,2954.5
2004-08-01,14,2983.4
2004-09-01,16.049999,2922.2
2004-10-01,15.25,2917.6
2004-11-01,16.65,2882.2
2004-12-01,18.875,3014.2
2005-01-01,19.799999,2816.4
2005-02-01,22.625,2771.3
2005-03-01,21.25,2918.4
2005-04-01,17.125,2940
2005-05-01,17.487499,2983.2
2005-06-01,17.325001,2534.2
2005-07-01,19.622499,2926.3
2005-08-01,20.275,2992.2
2005-09-01,24.75,2866.1
2005-10-01,23.2925,2983.5
2005-11-01,23.924999,2800.2
2005-12-01,23.875,2820.2
2006-01-01,28.297501,2594.3
2006-02-01,25.975,2229
2006-03-01,26.4,2519.6
2006-04-01,26.754999,2486.9
2006-05-01,26.35,2495.1
2006-06-01,26.139999,2440.7
2006-07-01,25.275,2926.3
2006-08-01,23,3001.2
2006-09-01,23.424999,2922.5
2006-10-01,27.075001,2946.6
2006-11-01,29.860001,2821.9
2006-12-01,31.85,2895.8
2007-01-01,35.549999,2866.7
2007-02-01,36.255001,2459.8
2007-03-01,38.150002,2896.1
2007-04-01,42,2691.8
2007-05-01,43.509998,2991.7
2007-06-01,43.09,2850
2007-07-01,46.400002,3035
2007-08-01,48.490002,3153.6
2007-09-01,61.950001,3023.9
2007-10-01,65,3095
2007-11-01,62.700001,3012.5
2007-12-01,59.310001,3246.6
2008-01-01,51.830002,3231.6
2008-02-01,58.66,2887.9
2008-03-01,60.5,3080.7
2008-04-01,65.639999,2958.1
2008-05-01,65.510002,3125.9
2008-06-01,57.400002,3133.3
2008-07-01,47.34,3289.3
2008-08-01,43.470001,3355.6
2008-09-01,36.549999,3205.2
2008-10-01,28.389999,3105.7
2008-11-01,27.530001,2293.1
2008-12-01,27.690001,1815.5
2009-01-01,32.5,1681.9
2009-02-01,30.870001,1598.5
2009-03-01,31,1656.9
2009-04-01,36.080002,1595.5
2009-05-01,38.02,1656.9
2009-06-01,34.5,1725.6
2009-07-01,37.049999,2245.2
2009-08-01,36.68,2550.9
2009-09-01,41.189999,2609.1
2009-10-01,44.799999,2827
2009-11-01,49.02,2631.5
2009-12-01,49.66,2641.7
2010-01-01,48.91,2655.1
2010-02-01,50.450001,2450.7
2010-03-01,57.150002,2742.9
2010-04-01,53.099998,2568.8
2010-05-01,50,2584.7
2010-06-01,43.650002,2691.8
2010-07-01,48.549999,2680.6
2010-08-01,46.880001,2654.8
2010-09-01,52.299999,2694.6
2010-10-01,53.599998,2772.5
2010-11-01,53.560001,2488.2
2010-12-01,55.330002,2464.7
2011-01-01,57.080002,2653
2011-02-01,56.299999,2612.2
2011-03-01,53.349998,2859.4
2011-04-01,51.790001,2805.3
2011-05-01,50.25,3074.2
2011-06-01,49.490002,2761.5
2011-07-01,50.130001,2923.2
2011-08-01,44.799999,2346.8
2011-09-01,42.650002,2172.6
2011-10-01,43.709999,2191.9
2011-11-01,41.650002,2145.7
2011-12-01,39.450001,2242.1
2012-01-01,44.700001,2215.2
2012-02-01,43.549999,2154.9
2012-03-01,42.900002,2416.3
2012-04-01,42.599998,2354.2
2012-05-01,37.59,2234.5
2012-06-01,40.130001,2154.6
2012-07-01,37.150002,2300.2
2012-08-01,33.779999,2201.3
2012-09-01,36.490002,2206.4
2012-10-01,37.450001,2442
2012-11-01,37.599998,2180.2
2012-12-01,42.279999,2186.5
2013-01-01,40.259998,2178.041
2013-02-01,37.799999,1999.501
2013-03-01,35.130001,2157.547
2013-04-01,34.290001,2239.881
2013-05-01,30.450001,2240.067
2013-06-01,28.91,2123.028
2013-07-01,31.02,2213.095
2013-08-01,34.34,2308.4
2013-09-01,34.459999,2244.132
2013-10-01,35.75,2247.802
2013-11-01,35.869999,2055.209
2013-12-01,35.709999,2193.517
2014-01-01,33.049999,2102.952
2014-02-01,33,1949.064
2014-03-01,31.42,2238.002
2014-04-01,29.549999,2076.291
2014-05-01,28.459999,2181.888
2014-06-01,29.24,2203.266
2014-07-01,32.549999,2357.12
2014-08-01,29.200001,2441.311
2014-09-01,26.85,2418.174
2014-10-01,25,2434.747
2014-11-01,23.290001,2162.414
2014-12-01,21.91,2451.077
2015-01-01,18.610001,2500.763
2015-02-01,21.25,2172.337
2015-03-01,17.940001,2278.778
2015-04-01,22.65,2372.167
2015-05-01,20.049999,2452.68
2015-06-01,18.290001,2343.848
2015-07-01,17.870001,2378.113
2015-08-01,17.92,2365.971
2015-09-01,16.58,2212.049
2015-10-01,17.059999,2445.078
2015-11-01,13.17,2170.263
2015-12-01,13.03,2292.573
2016-01-01,9.72,2123.33
2016-02-01,11.81,1936.566
2016-03-01,15.15,2097.748
2016-04-01,19.690001,1854.489
2016-05-01,14.22,2115
2016-06-01,16.27,2149.622
2016-07-01,18.5,2361.876
2016-08-01,16.940001,2391.591
2016-09-01,17.809999,2296.826
2016-10-01,22.08,2482.535
2016-11-01,28.059999,2320.969
2016-12-01,25.68,2214.319
2017-01-01,32.18,2293.366
2017-02-01,32.720001,2073.46
2017-03-01,29.790001,2375.179
2017-04-01,27.469999,2409.201
2017-05-01,27.17,2497.984
2017-06-01,29,2285.293
2017-07-01,31.299999,2337.139
2017-08-01,35.080002,2461.266
2017-09-01,31.870001,2441.65
2017-10-01,32.099998,2494.033
2017-11-01,35.139999,2470.478
2017-12-01,40.259998,2432.557
2018-01-01,41.450001,2368.131
2018-02-01,45.049999,2170.824
2018-03-01,42.209999,2442.014
2018-04-01,48.669998,2356.472
2018-05-01,50.630001,2239.203
2018-06-01,49.59,2374.735
2018-07-01,54.84,2481.177
2018-08-01,53.619999,2349.081
2018-09-01,59.82,2532.742
